"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 19:38:33 GMT 2023","Fri May 05 19:38:36 GMT 2023","2314","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:37:05 GMT 2023","Fri May 05 19:37:07 GMT 2023","1356","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Fri May 05 19:38:26 GMT 2023","Fri May 05 19:38:28 GMT 2023","1850","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:36:59 GMT 2023","Fri May 05 19:37:00 GMT 2023","1522","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Fri May 05 19:36:54 GMT 2023","Fri May 05 19:36:56 GMT 2023","1251","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Fri May 05 19:38:07 GMT 2023","Fri May 05 19:38:09 GMT 2023","2179","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Fri May 05 19:37:33 GMT 2023","Fri May 05 19:38:05 GMT 2023","31924","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"broken","Fri May 05 19:37:49 GMT 2023","Fri May 05 19:38:21 GMT 2023","32295","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Fri May 05 19:38:12 GMT 2023","Fri May 05 19:38:14 GMT 2023","2160","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Fri May 05 19:36:50 GMT 2023","Fri May 05 19:36:52 GMT 2023","1762","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
