"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 20:04:47 GMT 2023","Sun May 07 20:04:48 GMT 2023","1852","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Sun May 07 20:04:21 GMT 2023","Sun May 07 20:04:23 GMT 2023","1820","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"passed","Sun May 07 20:06:30 GMT 2023","Sun May 07 20:06:33 GMT 2023","2446","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:05:45 GMT 2023","Sun May 07 20:05:47 GMT 2023","2153","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:05:40 GMT 2023","Sun May 07 20:05:42 GMT 2023","2170","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 20:04:26 GMT 2023","Sun May 07 20:04:27 GMT 2023","1235","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Sun May 07 20:05:42 GMT 2023","Sun May 07 20:06:14 GMT 2023","31951","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sun May 07 20:04:55 GMT 2023","Sun May 07 20:04:57 GMT 2023","1519","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Sun May 07 20:05:05 GMT 2023","Sun May 07 20:05:37 GMT 2023","31889","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sun May 07 20:06:21 GMT 2023","Sun May 07 20:06:23 GMT 2023","2228","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
